,Zn,Cu,Li,Fe,Ni,NH4,SO4,NO3
3498.44507,0,0,0,0,0,0,0,0
3496.51649,0,0,0,0,0,0,0,0
3494.58791,1,0,0,0,0,0,0,0
3492.65933,0,0,0,0,0,0,0,0
3490.73075,0,1,0,0,0,1,1,1
3488.80217,0,0,0,0,0,0,0,0
3486.87359,0,0,1,0,0,0,0,0
3484.94501,0,0,0,0,0,0,0,0
3483.01643,0,0,0,0,0,0,0,0
3481.08785,0,0,0,0,1,0,0,0
3479.15927,0,0,0,0,0,0,0,0
3477.23069,0,0,0,1,0,0,0,0
3475.30211,0,0,0,0,0,0,0,0
3473.37353,0,0,0,0,0,0,0,0
3471.44495,1,0,0,0,0,0,0,0
3469.51637,0,0,0,0,0,0,0,0
3467.58779,0,1,0,0,0,1,0,0
3465.65921,0,0,0,0,0,0,0,0
3463.73062,0,0,1,0,0,0,0,1
3461.80204,0,0,0,0,0,0,0,0
3459.87346,0,0,0,0,0,0,0,0
3457.94488,0,0,0,0,1,0,0,0
3456.0163,0,0,0,0,0,0,0,0
3454.08772,0,0,0,1,0,0,0,0
3452.15914,0,0,0,0,0,0,0,0
3450.23056,0,0,0,0,0,0,0,0
3448.30198,0,0,0,0,0,0,0,0
3446.3734,1,0,0,0,0,0,1,0
3444.44482,0,0,0,0,0,0,0,0
3442.51624,0,1,0,0,0,1,0,0
3440.58766,0,0,0,0,0,0,0,0
3438.65908,0,0,0,0,0,0,0,0
3436.7305,0,0,1,0,0,0,0,1
3434.80192,0,0,0,0,0,0,0,0
3432.87334,0,0,0,0,0,0,0,0
3430.94476,0,0,0,0,1,0,0,0
3429.01618,0,0,0,0,0,0,0,0
3427.08759,0,0,0,0,0,0,0,0
3425.15901,0,0,0,1,0,0,0,0
3423.23043,0,0,0,0,0,0,0,0
3421.30185,0,0,0,0,0,0,0,0
3419.37327,0,0,0,0,0,0,0,0
3417.44469,0,0,0,0,0,0,0,0
3415.51611,0,0,0,0,0,0,0,0
3413.58753,1,0,0,0,0,0,0,0
3411.65895,0,0,0,0,0,0,1,0
3409.73037,0,0,0,0,0,0,0,0
3407.80179,0,0,0,0,0,0,0,0
3405.87321,0,0,0,0,0,1,0,0
3403.94463,0,1,0,0,0,0,0,0
3402.01605,0,0,0,0,0,0,0,0
3400.08747,0,0,0,0,0,0,0,0
3398.15889,0,0,0,0,0,0,0,0
3396.23031,0,0,0,0,0,0,0,0
3394.30173,0,0,1,0,0,0,0,0
3392.37315,0,0,0,0,0,0,0,1
3390.44456,0,0,0,0,0,0,0,0
3388.51598,0,0,0,0,0,0,0,0
3386.5874,0,0,0,0,0,0,0,0
3384.65882,0,0,0,0,0,0,0,0
3382.73024,0,0,0,0,1,0,0,0
3380.80166,0,0,0,0,0,0,0,0
3378.87308,0,0,0,0,0,0,0,0
3376.9445,0,0,0,0,0,0,0,0
